geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075031400,2013,"Census Tract 314, San Francisco County, California",6956.0,54809.0,517900.0,784.0,748.0,12.0,2780.0,0.0,16.0,124.0,2500.0,06,075,031400
06075032601,2013,"Census Tract 326.01, San Francisco County, California",4738.0,74625.0,822100.0,1596.0,21.0,0.0,2633.0,0.0,64.0,268.0,156.0,06,075,032601
06075032602,2013,"Census Tract 326.02, San Francisco County, California",4205.0,57394.0,699100.0,1523.0,18.0,4.0,2411.0,0.0,17.0,170.0,62.0,06,075,032602
06075032700,2013,"Census Tract 327, San Francisco County, California",7140.0,82102.0,820000.0,2301.0,0.0,0.0,4251.0,14.0,0.0,248.0,326.0,06,075,032700
06075032801,2013,"Census Tract 328.01, San Francisco County, California",3941.0,71000.0,694300.0,1302.0,12.0,6.0,2342.0,0.0,0.0,57.0,222.0,06,075,032801
06075032802,2013,"Census Tract 328.02, San Francisco County, California",4012.0,81409.0,718200.0,855.0,71.0,0.0,2719.0,6.0,0.0,188.0,173.0,06,075,032802
06075032901,2013,"Census Tract 329.01, San Francisco County, California",5413.0,74484.0,681200.0,1205.0,43.0,0.0,3337.0,0.0,0.0,148.0,680.0,06,075,032901
06075032902,2013,"Census Tract 329.02, San Francisco County, California",3780.0,89893.0,677500.0,939.0,33.0,20.0,2535.0,0.0,0.0,160.0,102.0,06,075,032902
06075033000,2013,"Census Tract 330, San Francisco County, California",8173.0,93136.0,812100.0,3020.0,61.0,36.0,4162.0,0.0,0.0,180.0,730.0,06,075,033000
06075033100,2013,"Census Tract 331, San Francisco County, California",4467.0,112313.0,907400.0,1447.0,0.0,0.0,2740.0,0.0,0.0,51.0,229.0,06,075,033100
06075033201,2013,"Census Tract 332.01, San Francisco County, California",3744.0,26771.0,-666666666.0,1891.0,211.0,13.0,633.0,0.0,0.0,264.0,745.0,06,075,033201
06075033203,2013,"Census Tract 332.03, San Francisco County, California",3861.0,67647.0,-666666666.0,1710.0,108.0,0.0,1379.0,0.0,148.0,178.0,338.0,06,075,033203
06075033204,2013,"Census Tract 332.04, San Francisco County, California",3588.0,48313.0,-666666666.0,1231.0,335.0,110.0,1248.0,0.0,0.0,195.0,579.0,06,075,033204
06075035100,2013,"Census Tract 351, San Francisco County, California",7966.0,96611.0,697900.0,2332.0,70.0,0.0,4742.0,10.0,0.0,368.0,444.0,06,075,035100
06075035201,2013,"Census Tract 352.01, San Francisco County, California",5169.0,66875.0,634900.0,1874.0,5.0,0.0,2701.0,116.0,0.0,167.0,306.0,06,075,035201
