geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
34003017500,2018,"Census Tract 175, Bergen County, New Jersey",8399.0,104792.0,375900.0,5370.0,123.0,5.0,1944.0,0.0,0.0,32.0,925.0,1745.0,149.0,56.0,34,003,017500
34003019102,2018,"Census Tract 191.02, Bergen County, New Jersey",3337.0,82386.0,237300.0,1268.0,42.0,19.0,1520.0,0.0,0.0,82.0,406.0,1053.0,74.0,18.0,34,003,019102
34003031300,2018,"Census Tract 313, Bergen County, New Jersey",5152.0,71192.0,383300.0,3469.0,61.0,0.0,341.0,0.0,40.0,36.0,1205.0,723.0,117.0,0.0,34,003,031300
34003021400,2018,"Census Tract 214, Bergen County, New Jersey",5032.0,54963.0,342800.0,2660.0,306.0,0.0,253.0,0.0,0.0,81.0,1732.0,447.0,55.0,17.0,34,003,021400
34003023401,2018,"Census Tract 234.01, Bergen County, New Jersey",3872.0,72147.0,170300.0,868.0,1131.0,49.0,1259.0,0.0,21.0,71.0,519.0,847.0,188.0,26.0,34,003,023401
34003026200,2018,"Census Tract 262, Bergen County, New Jersey",5768.0,140799.0,564000.0,4540.0,163.0,0.0,516.0,0.0,0.0,85.0,464.0,1225.0,79.0,79.0,34,003,026200
34003037100,2018,"Census Tract 371, Bergen County, New Jersey",5648.0,125323.0,424600.0,3492.0,124.0,11.0,1052.0,0.0,70.0,125.0,785.0,1203.0,162.0,34.0,34,003,037100
34003038100,2018,"Census Tract 381, Bergen County, New Jersey",5613.0,64079.0,350700.0,3547.0,22.0,0.0,230.0,0.0,90.0,126.0,1598.0,890.0,79.0,0.0,34,003,038100
34003039100,2018,"Census Tract 391, Bergen County, New Jersey",4166.0,95385.0,440800.0,3526.0,0.0,0.0,262.0,0.0,0.0,67.0,311.0,823.0,49.0,76.0,34,003,039100
34003047200,2018,"Census Tract 472, Bergen County, New Jersey",4447.0,210172.0,881800.0,3566.0,10.0,0.0,524.0,6.0,0.0,66.0,275.0,1186.0,29.0,28.0,34,003,047200
34003054500,2018,"Census Tract 545, Bergen County, New Jersey",4822.0,160878.0,444300.0,2959.0,542.0,0.0,283.0,0.0,50.0,148.0,840.0,1216.0,141.0,66.0,34,003,054500
34003061400,2018,"Census Tract 614, Bergen County, New Jersey",5261.0,153354.0,685000.0,4610.0,39.0,0.0,343.0,0.0,0.0,138.0,131.0,1243.0,37.0,110.0,34,003,061400
34003047400,2018,"Census Tract 474, Bergen County, New Jersey",4729.0,113056.0,722700.0,3202.0,235.0,11.0,548.0,0.0,11.0,216.0,506.0,1250.0,137.0,45.0,34,003,047400
