geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B08126_003E,B08126_006E,B08126_008E,B08126_009E,B08126_011E,B08126_012E,B08126_014E,B08126_015E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
06001450603,2012,"Census Tract 4506.03, Alameda County, California",4455.0,129155.0,611400.0,2899.0,2.0,7.0,1003.0,0.0,33.0,60.0,451.0,147.0,247.0,151.0,55.0,365.0,76.0,61.0,0.0,1031.0,117.0,0.0,06,001,450603
06001450604,2012,"Census Tract 4506.04, Alameda County, California",4799.0,121814.0,802800.0,3327.0,107.0,0.0,653.0,0.0,0.0,105.0,607.0,66.0,225.0,124.0,282.0,393.0,241.0,133.0,0.0,1143.0,55.0,53.0,06,001,450604
06001450605,2012,"Census Tract 4506.05, Alameda County, California",4038.0,114966.0,678400.0,2609.0,4.0,0.0,933.0,2.0,0.0,123.0,367.0,70.0,72.0,99.0,124.0,373.0,63.0,38.0,0.0,918.0,63.0,0.0,06,001,450605
06001450606,2012,"Census Tract 4506.06, Alameda County, California",5779.0,147586.0,809300.0,3466.0,191.0,66.0,1362.0,0.0,15.0,257.0,422.0,93.0,324.0,143.0,262.0,628.0,115.0,62.0,0.0,1457.0,96.0,24.0,06,001,450606
06001450607,2012,"Census Tract 4506.07, Alameda County, California",4786.0,78548.0,863400.0,2600.0,106.0,0.0,989.0,26.0,17.0,185.0,863.0,156.0,267.0,49.0,246.0,477.0,399.0,110.0,0.0,811.0,65.0,78.0,06,001,450607
06001450701,2012,"Census Tract 4507.01, Alameda County, California",8167.0,185929.0,1000001.0,5456.0,28.0,1.0,1829.0,0.0,53.0,225.0,576.0,91.0,347.0,135.0,420.0,523.0,138.0,10.0,0.0,2060.0,32.0,54.0,06,001,450701
06001450741,2012,"Census Tract 4507.41, Alameda County, California",4822.0,94453.0,782200.0,3122.0,119.0,7.0,501.0,0.0,0.0,130.0,943.0,100.0,350.0,29.0,140.0,459.0,363.0,30.0,0.0,836.0,52.0,0.0,06,001,450741
06001450742,2012,"Census Tract 4507.42, Alameda County, California",4557.0,110417.0,657300.0,2872.0,118.0,23.0,920.0,0.0,8.0,120.0,496.0,185.0,156.0,65.0,162.0,381.0,71.0,99.0,0.0,902.0,34.0,31.0,06,001,450742
06001450743,2012,"Census Tract 4507.43, Alameda County, California",5257.0,77028.0,473200.0,1636.0,224.0,10.0,2199.0,0.0,0.0,153.0,1035.0,55.0,223.0,88.0,205.0,389.0,458.0,37.0,0.0,936.0,240.0,28.0,06,001,450743
06001450744,2012,"Census Tract 4507.44, Alameda County, California",4624.0,116339.0,650700.0,2633.0,11.0,0.0,1238.0,0.0,0.0,141.0,601.0,103.0,180.0,73.0,114.0,386.0,46.0,90.0,0.0,994.0,0.0,39.0,06,001,450744
06001450745,2012,"Census Tract 4507.45, Alameda County, California",5857.0,124740.0,665800.0,2656.0,91.0,22.0,2497.0,17.0,0.0,258.0,316.0,179.0,302.0,76.0,152.0,569.0,235.0,90.0,0.0,1242.0,79.0,30.0,06,001,450745
06001450746,2012,"Census Tract 4507.46, Alameda County, California",3081.0,118615.0,627100.0,2131.0,56.0,43.0,240.0,13.0,0.0,144.0,469.0,89.0,90.0,68.0,50.0,240.0,55.0,64.0,14.0,570.0,35.0,29.0,06,001,450746
06001450750,2012,"Census Tract 4507.50, Alameda County, California",3584.0,74451.0,374700.0,1431.0,264.0,14.0,1335.0,45.0,0.0,130.0,365.0,99.0,321.0,40.0,240.0,310.0,139.0,44.0,0.0,903.0,238.0,16.0,06,001,450750
06001450751,2012,"Census Tract 4507.51, Alameda County, California",1987.0,206958.0,772500.0,904.0,148.0,78.0,765.0,0.0,0.0,32.0,60.0,14.0,27.0,39.0,125.0,180.0,9.0,45.0,20.0,544.0,68.0,0.0,06,001,450751
06001450752,2012,"Census Tract 4507.52, Alameda County, California",5009.0,162074.0,854800.0,2040.0,122.0,5.0,2325.0,0.0,17.0,193.0,307.0,121.0,330.0,183.0,213.0,320.0,180.0,86.0,0.0,1225.0,137.0,73.0,06,001,450752
06001451101,2012,"Census Tract 4511.01, Alameda County, California",6905.0,131719.0,626300.0,4577.0,199.0,15.0,1282.0,0.0,0.0,99.0,735.0,271.0,274.0,144.0,216.0,476.0,250.0,83.0,0.0,1405.0,156.0,0.0,06,001,451101
06001451102,2012,"Census Tract 4511.02, Alameda County, California",4427.0,168080.0,859900.0,3402.0,20.0,11.0,297.0,70.0,0.0,193.0,445.0,201.0,137.0,88.0,162.0,354.0,136.0,86.0,0.0,1202.0,70.0,43.0,06,001,451102
06001451201,2012,"Census Tract 4512.01, Alameda County, California",6791.0,95491.0,375800.0,4590.0,399.0,38.0,579.0,0.0,68.0,228.0,889.0,158.0,464.0,261.0,263.0,490.0,226.0,109.0,0.0,1167.0,164.0,35.0,06,001,451201
06001451202,2012,"Census Tract 4512.02, Alameda County, California",3711.0,101842.0,410300.0,2576.0,44.0,3.0,287.0,102.0,0.0,42.0,660.0,163.0,279.0,49.0,142.0,265.0,260.0,131.0,0.0,520.0,123.0,26.0,06,001,451202
06001451300,2012,"Census Tract 4513, Alameda County, California",6444.0,106250.0,474900.0,4733.0,164.0,0.0,430.0,23.0,0.0,47.0,1047.0,243.0,311.0,76.0,168.0,635.0,198.0,235.0,0.0,1206.0,83.0,24.0,06,001,451300
06001451401,2012,"Census Tract 4514.01, Alameda County, California",5807.0,85804.0,534000.0,3246.0,104.0,0.0,717.0,0.0,28.0,185.0,1527.0,78.0,240.0,74.0,224.0,443.0,335.0,182.0,0.0,1047.0,50.0,0.0,06,001,451401
06001451403,2012,"Census Tract 4514.03, Alameda County, California",2357.0,93676.0,397300.0,1009.0,0.0,0.0,431.0,0.0,0.0,23.0,894.0,132.0,120.0,0.0,63.0,175.0,176.0,57.0,0.0,382.0,76.0,8.0,06,001,451403
